,rownum,url,title,query,domain
0,1,https://www.kurashiru.com/lists/2cf9bf31-58f6-47d2-8823-a8b12268b01e,キャベツしいたけのレシピ おすすめの30選を紹介,しいたけ キャベツ,www.kurashiru.com
1,2,https://delishkitchen.tv/recipes/347219825501668370,シンプルな味わい♪ しいたけとキャベツのしょうが炒めのレシピ ...,しいたけ キャベツ,delishkitchen.tv
2,3,https://delishkitchen.tv/recipes/349664908406686814,キャベツとしいたけのバター醤油炒め,しいたけ キャベツ,delishkitchen.tv
3,4,https://park.ajinomoto.co.jp/recipe/search/?search_word=%E3%82%AD%E3%83%A3%E3%83%99%E3%83%84+%E3%81%97%E3%81%84%E3%81%9F%E3%81%91,「キャベツ しいたけ」の人気レシピ 44件 - AJINOMOTO PARK,しいたけ キャベツ,park.ajinomoto.co.jp
4,5,https://macaro-ni.jp/116526,冷蔵庫に余ってない？しいたけとキャベツのおすすめレシピ10選,しいたけ キャベツ,macaro-ni.jp
5,6,https://cookpad.com/recipe/2899664,お弁当に★キャベツと椎茸のバター麺つゆ,しいたけ キャベツ,cookpad.com
6,7,https://www.marukome.co.jp/recipe/detail/ekimiso_225/,春キャベツとしいたけのみそ汁｜レシピ,しいたけ キャベツ,www.marukome.co.jp
7,8,https://cookpad.com/search/%E3%81%97%E3%81%84%E3%81%9F%E3%81%91%20%E3%82%AD%E3%83%A3%E3%83%99%E3%83%84,みんなの「しいたけ キャベツ」レシピが5809品 - クックパッド,しいたけ キャベツ,cookpad.com
8,9,https://www.kyounoryouri.jp/search/recipe?keyword=%E3%82%AD%E3%83%A3%E3%83%99%E3%83%84+%E3%81%97%E3%81%84%E3%81%9F%E3%81%91,「キャベツ」「しいたけ」 人気レシピ - みんなのきょうの料理,しいたけ キャベツ,www.kyounoryouri.jp
9,10,https://recipe.rakuten.co.jp/recipe/1900008228/,キャベツとしいたけの塩昆布炒め レシピ・作り方 by fish.on,しいたけ キャベツ,recipe.rakuten.co.jp
10,11,https://oceans-nadia.com/user/20995/recipe/252642,肉なしでも満足＊キャベツとしいたけの卵とじで一汁一菜,しいたけ キャベツ,oceans-nadia.com
11,12,https://recipe-le.com/vegetable/cabbage/recommended-using-cabbage-and-shiitake-mushrooms/cookpad-cabbage-and-shitake-mushrooms,【クックパッド1位】キャベツとしいたけの殿堂入りレシピ人気 ...,しいたけ キャベツ,recipe-le.com
12,13,https://www.lettuceclub.net/recipe/dish/32657/,キャベツとしいたけのカレーポン酢あえのレシピ・作り方【簡単＆ ...,しいたけ キャベツ,www.lettuceclub.net
13,14,https://ameblo.jp/izumimirun/entry-12119263949.html,ひと手間で驚きの味に変わります！ しいたけとキャベツの ...,しいたけ キャベツ,ameblo.jp
14,15,https://www.recipe-blog.jp/profile/313934/recipe/1420769,とっても簡単キャベツとしめじとしいたけ炒め（ヘルシー,しいたけ キャベツ,www.recipe-blog.jp
15,16,https://www.ebarafoods.com/recipe/detail/recipe3838.php,キャベツとしいたけの浅漬け - おいしいレシピ,しいたけ キャベツ,www.ebarafoods.com
16,17,https://www.orangepage.net/recipes/detail_103529,鶏肉だんごとキャベツ、しいたけ、春雨のうま煮,しいたけ キャベツ,www.orangepage.net
17,18,https://oishi-kenko.com/recipes/18884,キャベツとしいたけのコンソメスープ,しいたけ キャベツ,oishi-kenko.com
18,19,https://www.kikkoman.co.jp/homecook/search/recipe/00001056/,しいたけと野菜のかき卵汁のレシピ・つくり方 - キッコーマン,しいたけ キャベツ,www.kikkoman.co.jp
19,20,https://www.mizkan.co.jp/ouchirecipe/recipe/?menu_id=9206,鶏肉とキャベツ・しいたけの春雨酢っぱスープ - ミツカン,しいたけ キャベツ,www.mizkan.co.jp
